Name,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
Melody,22,7,8,14,9,10,2,3,17,5,16,13,23,11,21,20,19,24,4,26,12,6,15,25,1,18
Alicia,23,16,13,10,4,26,24,17,3,21,1,19,15,20,25,12,22,11,9,8,6,14,5,7,18,2
Sonya,23,15,24,9,17,10,2,19,11,5,13,6,18,1,3,21,22,12,7,16,4,8,25,14,20,26
Jill,6,4,2,10,14,17,22,23,11,18,12,15,8,16,24,25,19,3,21,9,5,26,13,20,7,1
Die !,6,15,18,23,7,12,1,22,16,8,2,24,13,19,3,9,21,17,4,14,10,26,5,25,20,11
Zyla,20,12,5,17,26,6,13,24,7,18,14,8,21,23,9,15,1,19,10,2,25,16,3,11,22,4
Pete,25,14,24,1,26,10,9,23,2,19,13,12,4,22,11,20,8,7,3,6,5,21,15,18,16,17
Ivy,7,10,15,5,24,22,11,23,1,2,18,19,8,14,16,17,13,3,21,4,12,25,6,20,9,26
Lindsay,14,11,16,8,1,23,2,20,13,21,7,5,3,9,19,25,22,6,10,4,15,24,18,12,17,26
Mike,26,9,19,2,18,12,7,15,1,13,11,17,5,6,10,23,8,3,20,14,4,21,16,25,22,24
Nick,14,10,20,1,24,21,12,17,15,22,6,13,2,23,9,26,19,11,7,4,5,8,3,18,16,25
Alex,14,9,6,2,21,22,19,26,13,18,23,3,7,5,4,12,25,1,10,11,17,24,8,16,15,20
CJ,10,9,8,4,17,5,2,23,22,15,14,18,1,20,12,25,19,3,16,11,6,24,7,13,21,26
Sten,3,17,26,5,13,6,10,20,11,12,1,15,2,21,24,25,19,23,4,9,7,14,8,18,16,22
Heather,12,7,1,10,20,17,11,26,3,22,2,24,5,18,19,14,21,4,9,6,13,25,16,23,15,8
Alizarin,21,12,9,4,20,15,26,5,11,19,25,3,14,8,24,18,6,10,23,13,17,1,22,2,7,16
Elena,7,12,4,3,13,14,21,24,2,22,19,23,5,6,18,11,26,8,17,9,10,20,16,15,25,1
